,categoria_de_trabajo,estado_marital,genero,trabajo,tiene_alto_valor_adquisitivo
0,5.0,5.0,0.0,4.0,0
1,5.0,1.0,0.0,9.0,0
2,2.0,1.0,0.0,10.0,0
3,5.0,1.0,0.0,4.0,1
4,0.0,5.0,1.0,0.0,0
5,5.0,5.0,0.0,6.0,0
6,0.0,5.0,0.0,0.0,0
7,4.0,1.0,0.0,7.0,1
8,5.0,5.0,1.0,6.0,0
9,5.0,1.0,0.0,8.0,0
10,5.0,1.0,0.0,4.0,1
11,1.0,1.0,0.0,3.0,0
12,5.0,5.0,1.0,3.0,0
13,0.0,1.0,0.0,0.0,0
14,5.0,1.0,0.0,4.0,1
15,5.0,1.0,0.0,1.0,0
16,3.0,5.0,0.0,6.0,0
17,5.0,1.0,1.0,3.0,0
18,5.0,6.0,1.0,4.0,0
19,5.0,1.0,0.0,7.0,0
20,5.0,1.0,0.0,12.0,0
21,5.0,5.0,1.0,6.0,0
22,0.0,0.0,1.0,0.0,0
23,5.0,5.0,0.0,7.0,0
24,5.0,1.0,0.0,7.0,0
25,4.0,1.0,0.0,8.0,1
26,5.0,5.0,0.0,3.0,0
27,5.0,4.0,0.0,4.0,0
28,5.0,1.0,0.0,8.0,0
29,4.0,5.0,0.0,7.0,0
30,3.0,1.0,0.0,1.0,1
31,4.0,6.0,1.0,6.0,0
32,4.0,5.0,0.0,14.0,0
33,2.0,1.0,0.0,10.0,0
34,5.0,0.0,1.0,1.0,0
35,0.0,1.0,0.0,0.0,0
36,2.0,1.0,0.0,7.0,0
37,5.0,5.0,0.0,11.0,0
38,5.0,5.0,0.0,4.0,0
39,5.0,5.0,0.0,8.0,0
40,5.0,1.0,0.0,7.0,0
41,6.0,1.0,0.0,14.0,0
42,5.0,1.0,0.0,9.0,0
43,5.0,1.0,0.0,6.0,0
44,3.0,5.0,0.0,9.0,0
45,5.0,1.0,1.0,7.0,0
46,5.0,1.0,0.0,8.0,0
47,5.0,1.0,0.0,13.0,1
48,5.0,4.0,1.0,11.0,0
49,6.0,6.0,1.0,1.0,0
50,5.0,5.0,0.0,6.0,0
51,5.0,0.0,0.0,5.0,0
52,5.0,5.0,1.0,6.0,0
53,5.0,5.0,0.0,6.0,1
54,5.0,3.0,0.0,1.0,0
55,5.0,5.0,1.0,3.0,0
56,5.0,1.0,0.0,8.0,0
57,2.0,1.0,0.0,1.0,1
58,6.0,1.0,0.0,1.0,1
59,5.0,1.0,0.0,5.0,0
60,5.0,5.0,1.0,1.0,0
61,5.0,0.0,0.0,14.0,0
62,5.0,5.0,1.0,1.0,0
63,5.0,5.0,1.0,4.0,0
64,2.0,0.0,1.0,3.0,0
65,5.0,5.0,1.0,6.0,0
66,6.0,1.0,0.0,8.0,1
67,5.0,5.0,0.0,6.0,0
68,5.0,4.0,0.0,13.0,0
69,5.0,1.0,0.0,14.0,0
70,5.0,1.0,0.0,1.0,1
71,5.0,1.0,0.0,12.0,0
72,5.0,1.0,0.0,4.0,0
73,5.0,4.0,1.0,5.0,0
74,5.0,1.0,0.0,8.0,0
75,0.0,5.0,0.0,0.0,0
76,5.0,1.0,0.0,4.0,0
77,6.0,1.0,0.0,14.0,0
78,5.0,1.0,0.0,13.0,0
79,5.0,5.0,1.0,3.0,0
80,6.0,1.0,0.0,4.0,0
81,5.0,5.0,0.0,1.0,0
