,id,anios_estudiados,barrio,categoria_de_trabajo,edad,educacion_alcanzada,estado_marital,ganancia_perdida_declarada_bolsa_argentina,genero,horas_trabajo_registradas,religion,representatividad_poblacional,rol_familiar_registrado,trabajo,tiene_alto_valor_adquisitivo
0,1,11,Palermo,relacion_de_dependencia,25,2_anio,sin_matrimonio,0,hombre,40,judaismo,226802,con_hijos,inspector,0
1,2,13,Palermo,relacion_de_dependencia,38,4_anio,matrimonio_civil,0,hombre,50,cristianismo,89814,casado,sector_primario,0
2,3,16,Palermo,empleado_municipal,28,universidad_2_anio,matrimonio_civil,0,hombre,40,cristianismo,336951,casado,seguridad,1
3,4,14,Palermo,relacion_de_dependencia,44,5_anio,matrimonio_civil,7688,hombre,40,judaismo,160323,casado,inspector,1
4,5,14,Palermo,No respondio,18,5_anio,sin_matrimonio,0,mujer,30,cristianismo,103497,con_hijos,No respondio,0
5,6,10,Palermo,relacion_de_dependencia,34,1_anio,sin_matrimonio,0,hombre,30,cristianismo,198693,sin_familia,otros,0
6,7,13,Palermo,No respondio,29,4_anio,sin_matrimonio,0,hombre,40,judaismo,227026,soltero_a,No respondio,0
7,8,19,Palermo,monotibutista,63,universiada_5_anio,matrimonio_civil,3103,hombre,32,cristianismo,104626,casado,profesional_especializado,1
8,9,14,Palermo,relacion_de_dependencia,24,5_anio,sin_matrimonio,0,mujer,40,cristianismo,369667,soltero_a,otros,0
9,10,8,Palermo,relacion_de_dependencia,55,7-8_grado,matrimonio_civil,0,hombre,10,cristianismo,104996,casado,reparador,0
10,11,13,Palermo,relacion_de_dependencia,65,4_anio,matrimonio_civil,6418,hombre,40,cristianismo,184454,casado,inspector,1
11,12,17,Palermo,empleadao_estatal,36,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,212465,casado,entretenimiento,1
12,13,13,Palermo,relacion_de_dependencia,26,4_anio,sin_matrimonio,0,mujer,39,cristianismo,82091,sin_familia,entretenimiento,0
13,14,13,Palermo,No respondio,58,4_anio,matrimonio_civil,0,hombre,35,cristianismo,299831,casado,No respondio,0
14,15,13,Palermo,relacion_de_dependencia,48,4_anio,matrimonio_civil,3103,hombre,48,cristianismo,279724,casado,inspector,0
15,16,18,Palermo,relacion_de_dependencia,43,universidad_4_anio,matrimonio_civil,0,hombre,50,cristianismo,346189,casado,directivo_gerente,1
16,17,14,Palermo,empleado_provincial,20,5_anio,sin_matrimonio,0,hombre,25,cristianismo,444554,con_hijos,otros,0
17,18,13,Palermo,relacion_de_dependencia,43,4_anio,matrimonio_civil,0,mujer,30,cristianismo,128354,casada,entretenimiento,0
18,19,13,Palermo,relacion_de_dependencia,37,4_anio,viudo_a,0,mujer,20,cristianismo,60548,soltero_a,inspector,0
19,20,20,Otro Barrio,relacion_de_dependencia,40,universiada_6_anio,matrimonio_civil,0,hombre,45,budismo,85019,casado,profesional_especializado,1
20,21,17,Palermo,relacion_de_dependencia,34,universidad_3_anio,matrimonio_civil,0,hombre,47,cristianismo,107914,casado,soporte_tecnico,1
21,22,14,Palermo,relacion_de_dependencia,34,5_anio,sin_matrimonio,0,mujer,35,judaismo,238588,con_hijos,otros,0
22,23,8,Palermo,No respondio,72,7-8_grado,divorciado,0,mujer,6,cristianismo,132015,sin_familia,No respondio,0
23,24,17,Parque Chacabuco,relacion_de_dependencia,25,universidad_3_anio,sin_matrimonio,0,hombre,43,cristianismo,220931,sin_familia,profesional_especializado,0
24,25,17,Palermo,relacion_de_dependencia,25,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,205947,casado,profesional_especializado,1
25,26,13,Palermo,monotibutista,45,4_anio,matrimonio_civil,7298,hombre,90,cristianismo,432824,casado,reparador,1
26,27,13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,0,hombre,20,cristianismo,236427,con_hijos,entretenimiento,0
27,28,13,Palermo,relacion_de_dependencia,23,4_anio,separado,0,hombre,54,judaismo,134446,soltero_a,inspector,0
28,29,13,Palermo,relacion_de_dependencia,54,4_anio,matrimonio_civil,0,hombre,35,cristianismo,99516,casado,reparador,0
29,30,14,Palermo,monotibutista,32,5_anio,sin_matrimonio,0,hombre,60,cristianismo,109282,sin_familia,profesional_especializado,0
30,31,14,Palermo,empleado_provincial,46,5_anio,matrimonio_civil,7688,hombre,38,judaismo,106444,casado,directivo_gerente,1
31,32,11,Palermo,monotibutista,56,2_anio,viudo_a,0,mujer,50,cristianismo,186651,soltero_a,otros,0
32,33,17,Palermo,monotibutista,24,universidad_3_anio,sin_matrimonio,0,hombre,50,cristianismo,188274,sin_familia,ventas,0
33,34,14,Palermo,empleado_municipal,23,5_anio,matrimonio_civil,0,hombre,40,cristianismo,258120,casado,seguridad,1
34,35,13,Palermo,relacion_de_dependencia,26,4_anio,divorciado,0,mujer,40,cristianismo,43311,soltero_a,directivo_gerente,0
35,36,13,Palermo,No respondio,65,4_anio,matrimonio_civil,0,hombre,40,cristianismo,191846,casado,No respondio,0
36,37,17,Palermo,empleado_municipal,36,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,403681,casado,profesional_especializado,0
37,38,6,Constitucion,relacion_de_dependencia,22,5-6_grado,sin_matrimonio,0,hombre,50,cristianismo,248446,sin_familia,servicio_domestico,0
38,39,10,Palermo,relacion_de_dependencia,17,1_anio,sin_matrimonio,0,hombre,40,cristianismo,269430,sin_familia,inspector,0
39,40,13,Palermo,relacion_de_dependencia,20,4_anio,sin_matrimonio,0,hombre,40,cristianismo,257509,con_hijos,reparador,0
40,41,18,Palermo,relacion_de_dependencia,65,universidad_4_anio,matrimonio_civil,0,hombre,50,cristianismo,136384,casado,profesional_especializado,1
41,42,15,Palermo,responsable_inscripto,44,universidad_1_anio,matrimonio_civil,0,hombre,45,cristianismo,120277,casado,ventas,1
42,43,13,Palermo,relacion_de_dependencia,36,4_anio,matrimonio_civil,0,hombre,40,cristianismo,465326,casado,sector_primario,0
43,44,11,Palermo,relacion_de_dependencia,29,2_anio,matrimonio_civil,0,hombre,40,cristianismo,103634,casado,otros,0
44,45,14,Palermo,empleado_provincial,20,5_anio,sin_matrimonio,0,hombre,32,cristianismo,138371,con_hijos,sector_primario,0
45,46,15,Palermo,relacion_de_dependencia,28,universidad_1_anio,matrimonio_civil,0,mujer,36,cristianismo,242832,casada,profesional_especializado,0
46,47,8,Belgrano,relacion_de_dependencia,39,7-8_grado,matrimonio_civil,0,hombre,40,cristianismo,290208,casado,reparador,0
47,48,14,Palermo,relacion_de_dependencia,54,5_anio,matrimonio_civil,3908,hombre,50,cristianismo,186272,casado,transporte,0
48,49,11,Palermo,relacion_de_dependencia,52,2_anio,separado,0,mujer,18,judaismo,201062,sin_familia,servicio_domestico,0
49,50,13,Palermo,responsable_inscripto,56,4_anio,viudo_a,0,mujer,50,cristianismo,131916,sin_familia,directivo_gerente,0
50,51,14,Palermo,relacion_de_dependencia,18,5_anio,sin_matrimonio,0,hombre,20,cristianismo,54440,con_hijos,otros,0
51,52,13,Palermo,relacion_de_dependencia,39,4_anio,divorciado,0,hombre,40,judaismo,280215,con_hijos,limpiador,0
52,53,14,Palermo,relacion_de_dependencia,21,5_anio,sin_matrimonio,-1721,mujer,24,cristianismo,214399,con_hijos,otros,0
53,54,13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,14084,hombre,60,cristianismo,54164,sin_familia,otros,1
54,55,9,Belgrano,relacion_de_dependencia,38,9_grado,pareja_no_presente,0,hombre,54,cristianismo,219446,sin_familia,directivo_gerente,0
55,56,14,Palermo,relacion_de_dependencia,21,5_anio,sin_matrimonio,0,mujer,40,cristianismo,110677,con_hijos,entretenimiento,0
56,57,13,Palermo,relacion_de_dependencia,63,4_anio,matrimonio_civil,0,hombre,40,cristianismo,145985,casado,reparador,0
57,58,17,Palermo,empleado_municipal,34,universidad_3_anio,matrimonio_civil,3103,hombre,50,cristianismo,382078,casado,directivo_gerente,1
58,59,13,Palermo,responsable_inscripto,42,4_anio,matrimonio_civil,5178,hombre,50,cristianismo,170721,casado,directivo_gerente,1
59,60,13,Palermo,relacion_de_dependencia,33,4_anio,matrimonio_civil,0,hombre,40,cristianismo,269705,casado,limpiador,0
60,61,17,Palermo,relacion_de_dependencia,30,universidad_3_anio,sin_matrimonio,0,mujer,50,cristianismo,101135,sin_familia,directivo_gerente,0
61,62,14,Palermo,relacion_de_dependencia,39,5_anio,divorciado,0,hombre,40,cristianismo,118429,sin_familia,ventas,0
62,63,18,Palermo,relacion_de_dependencia,26,universidad_4_anio,sin_matrimonio,0,mujer,40,cristianismo,31208,sin_familia,directivo_gerente,0
63,64,13,Palermo,relacion_de_dependencia,33,4_anio,sin_matrimonio,0,mujer,40,cristianismo,281384,con_hijos,inspector,0
64,65,13,Palermo,empleado_municipal,47,4_anio,divorciado,0,mujer,40,cristianismo,171807,sin_familia,entretenimiento,0
65,66,17,Otro Barrio,relacion_de_dependencia,41,universidad_3_anio,sin_matrimonio,0,mujer,40,cristianismo,109912,sin_familia,otros,0
